Slide,Step,category,value,color,label,lightness,duration,title,subtitle
5,132,Saint Vincent and the Grenadines,51.404,,,no,,,
5,133,New Caledonia,51.2998,,,no,,,
5,134,Türkiye,51.1955,,,no,,,
5,135,Malaysia,51.0294,,,no,,,
5,136,Ecuador,51.0168,,,no,,,
5,137,Azerbaijan,51.0076,,,no,,,
5,138,Dominica,49.907,,,no,,,
5,139,Albania,48.9986,,,no,,,
5,140,State of Palestine,48.969,,,no,,,
5,141,Botswana,48.8848,,,no,,,
5,142,Zambia,48.6103,,,no,,,
5,143,Lesotho,48.5683,,,no,,,
5,144,United Arab Emirates,48.489,,,no,,,
5,145,Peru,48.2526,,,no,,,
5,146,Thailand,47.5601,,,no,,,
5,147,Mexico,47.3904,,,no,,,
5,148,Cabo Verde,47.3816,,,no,,,
5,149,China,47.2074,,,no,,,
5,150,Sudan,47.1924,,,no,,,
5,151,Kiribati,47.1275,,,no,,,
5,152,Dominican Republic,46.911,,,no,,,
5,153,El Salvador,46.8453,,,no,,,
5,154,Vanuatu,46.4848,,,no,,,
5,155,Ghana,46.27,,,no,,,
5,156,South Africa,46.2269,,,no,,,
5,157,Syrian Arab Republic,45.5701,,,no,,,
5,158,Mayotte,45.4536,,,no,,,
5,159,Namibia,45.322,,,no,,,
5,160,Eswatini,45.3049,,,no,,,
5,161,Solomon Islands,44.9115,,,no,,,
5,162,Wallis and Futuna Islands,44.6873,,,no,,,
5,163,Tuvalu,44.3222,,,no,,,
5,164,Rwanda,44.2855,,,no,,,
5,165,Algeria,44.2294,,,no,,,
5,166,Iraq,44.1593,,,no,,,
5,167,Greenland,44.025,,,no,,,
5,168,Kosovo (under UNSC res. 1244),43.8282,,,no,,,
5,169,Togo,43.7617,,,no,,,
5,170,Honduras,43.6498,,,no,,,
5,171,Jordan,43.6449,,,no,,,
5,172,Equatorial Guinea,43.6384,,,no,,,
5,173,Gabon,43.5735,,,no,,,
5,174,Saudi Arabia,43.511,,,no,,,
5,175,Bolivia (Plurinational State of),43.5092,,,no,,,
